possible_ambiguities,question,ambiguous_question,unambiguous_question,answer,domain_idx,domain,dtype,intent,top_10_full_form,top_10_full_form_sources,llm_full_form_suggestions
"{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""COP"", ""full_form"": ""Coefficient of Performance""}]}",How does the COP of a heat pump vary with changes in external temperature?,How does the COP of a heat pump vary with changes in external temperature?,How does the Coefficient of Performance of a heat pump vary with changes in external temperature?,The Coefficient of Performance (COP) of a heat pump typically decreases as the external temperature drops because the heat pump has to work harder to extract heat from a colder environment.,0,SCIENCE,Compound Datatype-String,"Analytical/Evaluative (Convergent Thinking): This merged category is for queries that involve dissecting complex information or data to understand underlying patterns, reasons, or to make informed judgements. Queries in this category seek a deeper understanding that supports decision-making, comparison of options, or evaluating alternatives. The process involves both analysis (to break down and understand) and evaluation (to assess, compare, and decide), acknowledging that these processes often occur in tandem. This category involves queries where the goal is to converge upon a specific answer or decision through analysis and evaluation.","[[""Colombian Peso"", ""Conference Of the Parties"", ""Community Oriented Policing"", ""Community Of Practice"", ""Certificate Of Participation"", ""Cost Of Production"", ""Coptic"", ""Common Operating Picture"", ""Coalition Of Police"", ""CPU (Central Processing Unit) Overheating Protection""]]","[[""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS""]]","[""Coefficient of Performance""]"
"{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""COP"", ""full_form"": ""Conference of the Parties""}]}",What measures were discussed at the most recent COP to address global warming?,What measures were discussed at the most recent COP to address global warming?,What measures were discussed at the most recent Conference of the Parties to address global warming?,"At the most recent Conference of the Parties, measures such as increasing global forestation, updating industrial carbon emissions standards, and commitments to renewable energy targets were discussed to mitigate global warming.",2,COMMUNITY,Compound Datatype-String,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.","[[""Colombian Peso"", ""Conference Of the Parties"", ""Community Oriented Policing"", ""Community Of Practice"", ""Certificate Of Participation"", ""Cost Of Production"", ""Coptic"", ""Common Operating Picture"", ""Coalition Of Police"", ""CPU (Central Processing Unit) Overheating Protection""]]","[[""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS""]]","[""Conference of the Parties""]"
"{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""CAD"", ""full_form"": ""Computer-Aided Design""}]}",What implications does the integration of AI in CAD potentially have on the architectural industry's efficiency?,What implications does the integration of AI in CAD potentially have on the architectural industry's efficiency?,What implications does the integration of AI in Computer-Aided Design potentially have on the architectural industry's efficiency?,"The integration of AI into Computer-Aided Design can significantly enhance the architectural industry's efficiency by automating complex design tasks, optimizing material use, and reducing time spent on revisions.",0,SCIENCE,Compound Datatype-String,"Analytical/Evaluative (Convergent Thinking): This merged category is for queries that involve dissecting complex information or data to understand underlying patterns, reasons, or to make informed judgements. Queries in this category seek a deeper understanding that supports decision-making, comparison of options, or evaluating alternatives. The process involves both analysis (to break down and understand) and evaluation (to assess, compare, and decide), acknowledging that these processes often occur in tandem. This category involves queries where the goal is to converge upon a specific answer or decision through analysis and evaluation.","[[""Computer Aided Design"", ""Computer-Aided Design"", ""Canadian Dollar"", ""Coronary Artery Disease"", ""CADdesi"", ""Computer Aided Drafting"", ""Computer Aided Dispatch"", ""CADde"", ""Computer Aided Detection"", ""Caddo""]]","[[""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS""]]","[""Computer-Aided Design""]"
"{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""CAD"", ""full_form"": ""Canadian Dollar""}]}",How has the fluctuation of the CAD affected the cost of importing electronic components into Canada over the last decade?,How has the fluctuation of the CAD affected the cost of importing electronic components into Canada over the last decade?,How has the fluctuation of the Canadian Dollar affected the cost of importing electronic components into Canada over the last decade?,"The fluctuation of the Canadian Dollar has likely impacted the cost of importing electronic components into Canada, increasing costs when the dollar weakens against other currencies and reducing costs when it strengthens, affecting the overall expenses for electronics businesses.",3,BUSINESS,Compound Datatype-String,"Analytical/Evaluative (Convergent Thinking): This merged category is for queries that involve dissecting complex information or data to understand underlying patterns, reasons, or to make informed judgements. Queries in this category seek a deeper understanding that supports decision-making, comparison of options, or evaluating alternatives. The process involves both analysis (to break down and understand) and evaluation (to assess, compare, and decide), acknowledging that these processes often occur in tandem. This category involves queries where the goal is to converge upon a specific answer or decision through analysis and evaluation.","[[""Computer Aided Design"", ""Computer-Aided Design"", ""Canadian Dollar"", ""Coronary Artery Disease"", ""CADdesi"", ""Computer Aided Drafting"", ""Computer Aided Dispatch"", ""CADde"", ""Computer Aided Detection"", ""Caddo""]]","[[""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS""]]","[""Canadian Dollar""]"
"{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""API"", ""full_form"": ""Application Programming Interface""}]}",How has the introduction of API standards impacted the integration of third-party services in mobile app development?,How has the introduction of API standards impacted the integration of third-party services in mobile app development?,How has the introduction of Application Programming Interface standards impacted the integration of third-party services in mobile app development?,"The introduction of Application Programming Interface standards has significantly facilitated the integration of third-party services in mobile app development by standardizing communication methods between different software components, thereby enhancing interoperability and reducing development time.",1,COMPUTING,Compound Datatype-String,"Analytical/Evaluative (Convergent Thinking): This merged category is for queries that involve dissecting complex information or data to understand underlying patterns, reasons, or to make informed judgements. Queries in this category seek a deeper understanding that supports decision-making, comparison of options, or evaluating alternatives. The process involves both analysis (to break down and understand) and evaluation (to assess, compare, and decide), acknowledging that these processes often occur in tandem. This category involves queries where the goal is to converge upon a specific answer or decision through analysis and evaluation.","[[""Academic Performance Index"", ""Application Programming Interface"", ""American Petroleum Institute"", ""Active Pharmaceutical Ingredient"", ""Atmospheric Pressure Ionization"", ""Air Pollution Index"", ""Administraci\u00f3n Portuaria Integral"", ""Animal Protection Institute"", ""Advanced Photonix, Inc."", ""Asian or Pacific Islander""]]","[[""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS""]]","[""Application Programming Interface""]"
"{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""API"", ""full_form"": ""Active Pharmaceutical Ingredient""}]}",What guidelines must a laboratory follow when synthesizing an API to ensure it meets the FDA's safety and efficacy standards?,What guidelines must a laboratory follow when synthesizing an API to ensure it meets the FDA's safety and efficacy standards?,What guidelines must a laboratory follow when synthesizing an Active Pharmaceutical Ingredient to ensure it meets the FDA's safety and efficacy standards?,"A laboratory must adhere to stringent FDA guidelines which include following Good Manufacturing Practices (GMP), conducting thorough testing and validation processes, ensuring traceability, maintaining contamination-free environments, and documenting all procedures to ensure the Active Pharmaceutical Ingredient is safe and efficacious for public use.",8,MEDICAL,Compound Datatype-List/Array,"Instructional: Queries specifically seeking step-by-step guidance, instructions, or procedures to perform a task. it focuses on 'how' to do something rather than 'what', 'why', or 'which'.","[[""Academic Performance Index"", ""Application Programming Interface"", ""American Petroleum Institute"", ""Active Pharmaceutical Ingredient"", ""Atmospheric Pressure Ionization"", ""Air Pollution Index"", ""Administraci\u00f3n Portuaria Integral"", ""Animal Protection Institute"", ""Advanced Photonix, Inc."", ""Asian or Pacific Islander""]]","[[""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS""]]","[""Active Pharmaceutical Ingredient""]"
"{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""CRT"", ""full_form"": ""Cathode Ray Tube""}]}","What are the potential environmental impacts associated with the disposal of CRT devices, particularly in the context of heavy metal content in landfills?","What are the potential environmental impacts associated with the disposal of CRT devices, particularly in the context of heavy metal content in landfills?","What are the potential environmental impacts associated with the disposal of Cathode Ray Tube devices, particularly in the context of heavy metal content in landfills?","The disposal of Cathode Ray Tube devices can have significant environmental impacts due to the presence of heavy metals like lead and cadmium, which can leach into soil and groundwater, posing risks to human health and the environment.",0,SCIENCE,Compound Datatype-String,"Analytical/Evaluative (Convergent Thinking): This merged category is for queries that involve dissecting complex information or data to understand underlying patterns, reasons, or to make informed judgements. Queries in this category seek a deeper understanding that supports decision-making, comparison of options, or evaluating alternatives. The process involves both analysis (to break down and understand) and evaluation (to assess, compare, and decide), acknowledging that these processes often occur in tandem. This category involves queries where the goal is to converge upon a specific answer or decision through analysis and evaluation.","[[""Cathode Ray Tube"", ""Cardiac Resynchronization Therapy"", ""Charitable Remainder Trust"", ""Chinese Remainder Theorem"", ""Criterion Referenced Test"", ""C Run Time"", ""Criterion Referenced Tests"", ""Corneal Refractive Therapy"", ""Copyright Royalty Tribunal"", ""Counter Rotating Tines""]]","[[""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS""]]","[""Cathode Ray Tube""]"
"{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""CRT"", ""full_form"": ""Clinical Research Trial""}]}","How do data management strategies differ between CRT phases, and what implications do these differences have for patient confidentiality and data integrity?","How do data management strategies differ between CRT phases, and what implications do these differences have for patient confidentiality and data integrity?","How do data management strategies differ between Clinical Research Trial phases, and what implications do these differences have for patient confidentiality and data integrity?","Data management strategies in Clinical Research Trials vary significantly across phases; initial phases focus on data collection and integrity, while later phases emphasize data analysis and reporting. These differences affect patient confidentiality through varying access controls and data handling practices, ensuring data remains secure and reliable throughout the trial.",1,COMPUTING,Compound Datatype-Object/Structure,"Analytical/Evaluative (Convergent Thinking): This merged category is for queries that involve dissecting complex information or data to understand underlying patterns, reasons, or to make informed judgements. Queries in this category seek a deeper understanding that supports decision-making, comparison of options, or evaluating alternatives. The process involves both analysis (to break down and understand) and evaluation (to assess, compare, and decide), acknowledging that these processes often occur in tandem. This category involves queries where the goal is to converge upon a specific answer or decision through analysis and evaluation.","[[""Cathode Ray Tube"", ""Cardiac Resynchronization Therapy"", ""Charitable Remainder Trust"", ""Chinese Remainder Theorem"", ""Criterion Referenced Test"", ""C Run Time"", ""Criterion Referenced Tests"", ""Corneal Refractive Therapy"", ""Copyright Royalty Tribunal"", ""Counter Rotating Tines""]]","[[""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS""]]","[""Cathode Ray Tube""]"
"{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""MRI"", ""full_form"": ""Magnetic Resonance Imaging""}]}",What advancements have been made in the field of MRI for detecting early stages of brain diseases?,What advancements have been made in the field of MRI for detecting early stages of brain diseases?,What advancements have been made in the field of Magnetic Resonance Imaging for detecting early stages of brain diseases?,"Recent advancements in Magnetic Resonance Imaging include higher resolution scanning technologies and improved functional MRI techniques, which help in early detection and treatment planning for brain diseases such as Alzheimer's and Parkinson's.",8,MEDICAL,Compound Datatype-String,"Exploratory(Divergent Thinking): Queries that are inherently about seeking new areas of knowledge, understanding emerging trends, or identifying unknown opportunities without a specific end goal of making a decision or judgment. Exploratory queries are characterized by their openness and the lack of a predefined objective, differentiating them from evaluative queries which are directed towards forming a judgment or assessment. Exploratory queries encourage branching out into various directions to explore a wide array of possibilities without necessarily aiming to converge on a single answer or outcome.","[[""Magnetic Resonance Imaging"", ""Maori"", ""Management Recruiters International"", ""Meteorological Research Institute"", ""Magnetic Resonance Imagery"", ""Mathematical Research Institute"", ""Magnetic Resonance Imagining"", ""Medical Resonance Imaging"", ""Magnetic Reasonance Imaging"", ""Meuse Rhine Issel""]]","[[""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS""]]","[""Magnetic Resonance Imaging""]"
"{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""MRI"", ""full_form"": ""Market Research, Inc.""}]}",How does MRI utilize consumer behavior data to forecast trends in the technology sector?,How does MRI utilize consumer behavior data to forecast trends in the technology sector?,"How does Market Research, Inc. utilize consumer behavior data to forecast trends in the technology sector?","Market Research, Inc. uses sophisticated data analytics techniques on consumer behavior data to predict upcoming trends in the technology sector, enabling companies to strategize product developments and marketing campaigns effectively.",8,MEDICAL,Simple Datatype-String,"Analytical/Evaluative (Convergent Thinking): This merged category is for queries that involve dissecting complex information or data to understand underlying patterns, reasons, or to make informed judgements. Queries in this category seek a deeper understanding that supports decision-making, comparison of options, or evaluating alternatives. The process involves both analysis (to break down and understand) and evaluation (to assess, compare, and decide), acknowledging that these processes often occur in tandem. This category involves queries where the goal is to converge upon a specific answer or decision through analysis and evaluation.","[[""Magnetic Resonance Imaging"", ""Maori"", ""Management Recruiters International"", ""Meteorological Research Institute"", ""Magnetic Resonance Imagery"", ""Mathematical Research Institute"", ""Magnetic Resonance Imagining"", ""Medical Resonance Imaging"", ""Magnetic Reasonance Imaging"", ""Meuse Rhine Issel""]]","[[""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS"", ""ABBREVIATIONS""]]","[""Magnetic Resonance Imaging""]"
