qtype,question,answer,possible_ambiguities,ambiguous_question,unambiguous_question
symptoms,What are the symptoms of Familial hypocalciuric hypercalcemia type 3 ?,"What are the signs and symptoms of Familial hypocalciuric hypercalcemia type 3? The Human Phenotype Ontology provides the following list of signs and symptoms for Familial hypocalciuric hypercalcemia type 3. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Nephrolithiasis 5% Peptic ulcer 5% Chondrocalcinosis - Hypercalcemia - Hypermagnesemia - Hypocalciuria - Multiple lipomas - Pancreatitis - Parathormone-independent increased renal tubular calcium reabsorption - Primary hyperparathyroidism - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""FHH3"", ""full_form"": ""Familial hypocalciuric hypercalcemia type 3""}]}",What are the symptoms of FHH3 ?,What are the symptoms of Familial hypocalciuric hypercalcemia type 3 ?
susceptibility,Who is at risk for Patent Ductus Arteriosus? ?,"Patent ductus arteriosus (PDA) is a relatively common congenital heart defect in the United States.
                
The condition occurs more often in premature infants (on average, occurring in about 8 of every 1,000 births). However, PDA also occurs in full-term infants (on average, occurring in about 2 of every 1,000 births).
                
PDA also is more common in:
                
Infants who have genetic conditions such as Down syndrome
                
Infants whose mothers had German measles (rubella) during pregnancy
                
PDA is twice as common in girls as it is in boys.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""PDA"", ""full_form"": ""Patent Ductus Arteriosus""}]}",Who is at risk for PDA? ?,Who is at risk for Patent Ductus Arteriosus? ?
treatment,What are the treatments for hereditary sensory and autonomic neuropathy type V ?,These resources address the diagnosis or management of HSAN5:  - Genetic Testing Registry: Congenital sensory neuropathy with selective loss of small myelinated fibers   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,"{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""HSAN"", ""full_form"": ""hereditary sensory and autonomic neuropathy""}]}",What are the treatments for HSAN type V ?,What are the treatments for hereditary sensory and autonomic neuropathy type V ?
treatment,What are the treatments for Diabetic Neuropathies: The Nerve Damage of Diabetes ?,"The first treatment step is to bring blood glucose levels within the normal range to help prevent further nerve damage. Blood glucose monitoring, meal planning, physical activity, and diabetes medicines or insulin will help control blood glucose levels. Symptoms may get worse when blood glucose is first brought under control, but over time, maintaining lower blood glucose levels helps lessen symptoms. Good blood glucose control may also help prevent or delay the onset of further problems. As scientists learn more about the underlying causes of neuropathy, new treatments may become available to help slow, prevent, or even reverse nerve damage.
                
As described in the following sections, additional treatment depends on the type of nerve problem and symptom.
                
Pain Relief
                
Doctors usually treat painful diabetic neuropathy with oral medications, although other types of treatments may help some people. People with severe nerve pain may benefit from a combination of medications or treatments and should consider talking with a health care provider about treatment options.
                
Medications used to help relieve diabetic nerve pain include
                
- tricyclic antidepressants, such as amitriptyline, imipramine, and desipramine (Norpramin, Pertofrane)  - other types of antidepressants, such as duloxetine (Cymbalta), venlafaxine, bupropion (Wellbutrin), paroxetine (Paxil), and citalopram (Celexa)  - anticonvulsants, such as pregabalin (Lyrica), gabapentin (Gabarone, Neurontin), carbamazepine, and lamotrigine (Lamictal)  - opioids and opioidlike drugs, such as controlled-release oxycodone, an opioid; and tramadol (Ultram), an opioid that also acts as an antidepressant
                
Duloxetine and pregabalin are approved by the U.S. Food and Drug Administration specifically for treating painful diabetic peripheral neuropathy.
                
People do not have to be depressed for an antidepressant to help relieve their nerve pain. All medications have side effects, and some are not recommended for use in older adults or those with heart disease. Because over-the-counter pain medicines such as acetaminophen and ibuprofen may not work well for treating most nerve pain and can have serious side effects, some experts recommend avoiding these medications.
                
Treatments that are applied to the skintypically to the feetinclude capsaicin cream and lidocaine patches (Lidoderm, Lidopain). Studies suggest that nitrate sprays or patches for the feet may relieve pain. Studies of alpha-lipoic acid, an antioxidant, and evening primrose oil suggest they may help relieve symptoms and improve nerve function in some patients.
                
A device called a bed cradle can keep sheets and blankets from touching sensitive feet and legs. Acupuncture, biofeedback, or physical therapy may help relieve pain in some people. Treatments that involve electrical nerve stimulation, magnetic therapy, and laser or light therapy may be helpful but need further study. Researchers are also studying several new therapies in clinical trials.
                
Gastrointestinal Problems
                
To relieve mild symptoms of gastroparesisindigestion, belching, nausea, or vomitingdoctors suggest eating small, frequent meals; avoiding fats; and eating less fiber. When symptoms are severe, doctors may prescribe erythromycin to speed digestion, metoclopramide to speed digestion and help relieve nausea, or other medications to help regulate digestion or reduce stomach acid secretion.
                
To relieve diarrhea or other bowel problems, doctors may prescribe an antibiotic such as tetracycline, or other medications as appropriate.
                
Dizziness and Weakness
                
Sitting or standing slowly may help prevent the light-headedness, dizziness, or fainting associated with blood pressure and circulation problems. Raising the head of the bed or wearing elastic stockings may also help. Some people benefit from increased salt in the diet and treatment with salt-retaining hormones. Others benefit from high blood pressure medications. Physical therapy can help when muscle weakness or loss of coordination is a problem.
                
Urinary and Sexual Problems
                
To clear up a urinary tract infection, the doctor will probably prescribe an antibiotic. Drinking plenty of fluids will help prevent another infection. People who have incontinence should try to urinate at regular intervalsevery 3 hours, for examplebecause they may not be able to tell when the bladder is full.
                
To treat erectile dysfunction in men, the doctor will first do tests to rule out a hormonal cause. Several methods are available to treat erectile dysfunction caused by neuropathy. Medicines are available to help men have and maintain erections by increasing blood flow to the penis. Some are oral medications and others are injected into the penis or inserted into the urethra at the tip of the penis. Mechanical vacuum devices can also increase blood flow to the penis. Another option is to surgically implant an inflatable or semirigid device in the penis.
                
Vaginal lubricants may be useful for women when neuropathy causes vaginal dryness. To treat problems with arousal and orgasm, the doctor may refer women to a gynecologist.
                
Foot Care
                
People with neuropathy need to take special care of their feet. The nerves to the feet are the longest in the body and are the ones most often affected by neuropathy. Loss of sensation in the feet means that sores or injuries may not be noticed and may become ulcerated or infected. Circulation problems also increase the risk of foot ulcers. Smoking increases the risk of foot problems and amputation. A health care provider may be able to provide help with quitting smoking.
                
More than 60 percent of all nontraumatic lower-limb amputations in the United States occur in people with diabetes. Nontraumatic amputations are those not caused by trauma such as severe injuries from an accident. In 2004, about 71,000 nontraumatic amputations were performed in people with diabetes. Comprehensive foot care programs can reduce amputation rates by 45 to 85 percent.
                
Careful foot care involves
                
- cleaning the feet daily using warmnot hotwater and a mild soap. Soaking the feet should be avoided. A soft towel can be used to dry the feet and between the toes.  - inspecting the feet and toes every day for cuts, blisters, redness, swelling, calluses, or other problems. Using a mirrorhandheld or placed on the floormay be helpful in checking the bottoms of the feet, or another person can help check the feet. A health care provider should be notified of any problems.  - using lotion to moisturize the feet. Getting lotion between the toes should be avoided.  - filing corns and calluses gently with a pumice stone after a bath or shower.  - cutting toenails to the shape of the toes and filing the edges with an emery board each week or when needed.  - always wearing shoes or slippers to protect feet from injuries. Wearing thick, soft, seamless socks can prevent skin irritation.  - wearing shoes that fit well and allow the toes to move. New shoes can be broken in gradually by first wearing them for only an hour at a time.  - looking shoes over carefully before putting them on and feeling the insides to make sure the shoes are free of tears, sharp edges, or objects that might injure the feet.
                
People who need help taking care of their feet should consider making an appointment to see a foot doctor, also called a podiatrist.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""DN"", ""full_form"": ""Diabetic Neuropathies""}]}",What are the treatments for DN: The Nerve Damage of Diabetes ?,What are the treatments for Diabetic Neuropathies: The Nerve Damage of Diabetes ?
symptoms,What are the symptoms of Myoclonic epilepsy with ragged red fibers ?,"What are the signs and symptoms of Myoclonic epilepsy with ragged red fibers? Because muscle cells and nerve cells have especially high energy needs, muscular and neurological problems are common features of diseases that affect the mitochondria.  MERRF is a progressive multi-system syndrome with symptoms that begin during childhood, but onset may occur in adulthood. The rate of progression varies widely. Onset and extent of symptoms can differ widely from individual to individual and among affected siblings. The classic features of MERRF include: Myoclonus (brief, sudden, twitching muscle spasms)  the most characteristic symptom Epileptic seizures Ataxia (impaired coordination) Ragged-red fibers (a characteristic microscopic abnormality observed in muscle biopsy of patients with MERRF and other mitochondrial disorders) Additional symptoms may include: hearing loss, lactic acidosis (elevated lactic acid level in the blood), short stature, exercise intolerance, dementia, cardiac defects, eye abnormalities, and speech impairment. However, the exact symptoms aren't the same for everyone, because a person with mitochondrial disease can have a unique mixture of healthy and non-working mitochondria, with a unique distribution in the body. Despite their many potential effects, mitochondrial diseases sometimes cause little disability. Sometimes, a person has enough healthy mitochondria to compensate for the defective ones. The Human Phenotype Ontology provides the following list of signs and symptoms for Myoclonic epilepsy with ragged red fibers. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of movement 90% EMG abnormality 90% Incoordination 90% Multiple lipomas 90% Myopathy 90% Sensorineural hearing impairment 90% Cognitive impairment 50% Short stature 50% Optic atrophy 7.5% Ataxia - Generalized myoclonic seizures - Increased serum lactate - Increased serum pyruvate - Mitochondrial inheritance - Muscle weakness - Myoclonus - Ragged-red muscle fibers - Seizures - Spasticity - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""MERRF"", ""full_form"": ""Myoclonic epilepsy with ragged red fibers""}]}",What are the symptoms of MERRF ?,What are the symptoms of Myoclonic epilepsy with ragged red fibers ?
treatment,What are the treatments for succinyl-CoA:3-ketoacid CoA transferase deficiency ?,These resources address the diagnosis or management of succinyl-CoA:3-ketoacid CoA transferase deficiency:  - Genetic Testing Registry: Succinyl-CoA acetoacetate transferase deficiency  - MedlinePlus Encyclopedia: Ketones--Urine  - MedlinePlus Encyclopedia: Serum Ketones Test   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,"{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""SCOT"", ""full_form"": ""succinyl-CoA:3-ketoacid CoA transferase""}]}",What are the treatments for SCOT deficiency ?,What are the treatments for succinyl-CoA:3-ketoacid CoA transferase deficiency ?
outlook,What is the outlook for Charcot-Marie-Tooth Disease ?,"Onset of symptoms of CMT is most often in adolescence or early adulthood, however presentation may be delayed until mid-adulthood. Progression of symptoms is very gradual. The degeneration of motor nerves results in muscle weakness and atrophy in the extremities (arms, legs, hands, or feet), and the degeneration of sensory nerves results in a reduced ability to feel heat, cold, and pain. There are many forms of CMT disease. The severity of symptoms may vary greatly among individuals and some people may never realize they have the disorder. CMT is not fatal and people with most forms of CMT have a normal life expectancy.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""CMT"", ""full_form"": ""Charcot-Marie-Tooth Disease""}]}",What is the outlook for CMT ?,What is the outlook for Charcot-Marie-Tooth Disease ?
treatment,What are the treatments for Mycosis Fungoides and the Szary Syndrome ?,"Key Points
                    - There are different types of treatment for patients with mycosis fungoides and the Szary syndrome cancer.     - Six types of standard treatment are used:         - Photodynamic therapy      - Radiation therapy      - Chemotherapy      - Other drug therapy     - Biologic therapy     - Targeted therapy        - New types of treatment are being tested in clinical trials.          - High-dose chemotherapy and radiation therapy with stem cell transplant        - Treatment for mycosis fungoides and the Szary syndrome may cause side effects.    - Patients may want to think about taking part in a clinical trial.    - Patients can enter clinical trials before, during, or after starting their cancer treatment.    - Follow-up tests may be needed.
                
                
                    There are different types of treatment for patients with mycosis fungoides and the Szary syndrome cancer.
                    Different types of treatment are available for patients with mycosis fungoides and the Szary syndrome. Some treatments are standard (the currently used treatment), and some are being tested in clinical trials. A treatment clinical trial is a research study meant to help improve current treatments or obtain information on new treatments for patients with cancer. When clinical trials show that a new treatment is better than the standard treatment, the new treatment may become the standard treatment. Patients may want to think about taking part in a clinical trial. Some clinical trials are open only to patients who have not started treatment.
                
                
                    Six types of standard treatment are used:
                    Photodynamic therapy      Photodynamic therapy is a cancer treatment that uses a drug and a certain type of laser light to kill cancer cells. A drug that is not active until it is exposed to light is injected into a vein. The drug collects more in cancer cells than in normal cells. For skin cancer, laser light is shined onto the skin and the drug becomes active and kills the cancer cells. Photodynamic therapy causes little damage to healthy tissue. Patients undergoing photodynamic therapy will need to limit the amount of time spent in sunlight.     In one type of photodynamic therapy, called psoralen and ultraviolet A (PUVA) therapy, the patient receives a drug called psoralen and then ultraviolet radiation is directed to the skin. In another type of photodynamic therapy, called extracorporeal photochemotherapy, the patient is given drugs and then some blood cells are taken from the body, put under a special ultraviolet A light, and put back into the body.        Radiation therapy      Radiation therapy is a cancer treatment that uses high-energy x-rays or other types of radiation to kill cancer cells or keep them from growing. There are two types of radiation therapy:            -  External radiation therapy uses a machine outside the body to send radiation toward the cancer.     -  Internal radiation therapy uses a radioactive substance sealed in needles, seeds, wires, or catheters that are placed directly into or near the cancer.           The way the radiation therapy is given depends on the type and stage of the cancer being treated. External radiation therapy is used to treat mycosis fungoides and the Szary syndrome, and may also be used as palliative therapy to relieve symptoms and improve quality of life. Sometimes, total skin electron beam (TSEB) radiation therapy is used to treat mycosis fungoides and the Szary syndrome. This is a type of external radiation treatment in which a radiation therapy machine aims electrons (tiny, invisible particles) at the skin covering the whole body.     Ultraviolet B (UVB) radiation therapy uses a special lamp or laser that directs UVB radiation at the skin.        Chemotherapy      Chemotherapy is a cancer treatment that uses drugs to stop the growth of cancer cells, either by killing the cells or by stopping them from dividing. When chemotherapy is taken by mouth or injected into a vein or muscle, the drugs enter the bloodstream and can reach cancer cells throughout the body (systemic chemotherapy). When chemotherapy is placed directly into the cerebrospinal fluid, an organ, or a body cavity such as the abdomen, the drugs mainly affect cancer cells in those areas (regional chemotherapy). Sometimes the chemotherapy is topical (put on the skin in a cream, lotion, or ointment). The way the chemotherapy is given depends on the type and stage of the cancer being treated.    See Drugs Approved for Non-Hodgkin Lymphoma for more information. (Mycosis fungoides and the Szary syndrome are types of non-Hodgkin lymphoma.)       Other drug therapy     Topical corticosteroids are used to relieve red, swollen, and inflamed skin. They are a type of steroid. Topical corticosteroids may be in a cream, lotion, or ointment.     Retinoids, such as bexarotene, are drugs related to vitamin A that can slow the growth of certain types of cancer cells. The retinoids may be taken by mouth or put on the skin.    See Drugs Approved for Non-Hodgkin Lymphoma for more information. (Mycosis fungoides and the Szary syndrome are types of non-Hodgkin lymphoma.)       Biologic therapy     Biologic therapy is a treatment that uses the patient's immune system to fight cancer. Substances made by the body or made in a laboratory are used to boost, direct, or restore the body's natural defenses against cancer. This type of cancer treatment is also called biotherapy or immunotherapy.     Interferon is a type of biologic therapy used to treat mycosis fungoides and the Szary syndrome. It interferes with the division of cancer cells and can slow tumor growth.    See Drugs Approved for Non-Hodgkin Lymphoma for more information. (Mycosis fungoides and the Szary syndrome are types of non-Hodgkin lymphoma.)       Targeted therapy     Targeted therapy is a treatment that uses drugs or other substances to identify and attack specific cancer cells without harming normal cells. Monoclonal antibody therapy and other types of targeted therapies are used to treat mycosis fungoides and the Szary syndrome.     Alemtuzumab is a monoclonal antibody used to treat mycosis fungoides and the Szary syndrome. Monoclonal antibody therapy uses antibodies made in the laboratory, from a single type of immune system cell. These antibodies can identify substances on cancer cells or normal substances that may help cancer cells grow. The antibodies attach to the substances and kill the cancer cells, block their growth, or keep them from spreading. Monoclonal antibodies are given by infusion. They may be used alone or to carry drugs, toxins, or radioactive material directly to cancer cells.    Other types of monoclonal antibody therapy are being studied in clinical trials to treat mycosis fungoides and the Szary syndrome.      Vorinostat and romidepsin are two of the histone deacetylase (HDAC) inhibitors used to treat mycosis fungoides and the Szary syndrome. HDAC inhibitors cause a chemical change that stops tumor cells from dividing.     Pralatrexate is a dihydrofolate reductase (DHFR) inhibitor used to treat mycosis fungoides and the Szary syndrome. It builds up in cancer cells and stops them from using folate, a nutrient needed for cells to divide. Pralatrexate may slow the growth of tumors and kill cancer cells.     See Drugs Approved for Non-Hodgkin Lymphoma for more information. (Mycosis fungoides and the Szary syndrome are types of non-Hodgkin lymphoma.)
                
                
                    New types of treatment are being tested in clinical trials.
                    This summary section describes treatments that are being studied in clinical trials. It may not mention every new treatment being studied. Information about clinical trials is available from the NCI website.     High-dose chemotherapy and radiation therapy with stem cell transplant    This treatment is a method of giving high doses of chemotherapy and radiation therapy and replacing blood-forming cells destroyed by the cancer treatment. Stem cells (immature blood cells) are removed from the bone marrow or blood of the patient or a donor and are frozen and stored. After therapy is completed, the stored stem cells are thawed and given back to the patient through an infusion. These reinfused stem cells grow into (and restore) the body's blood cells.
                
                
                    Treatment for mycosis fungoides and the Szary syndrome may cause side effects.
                    For information about side effects caused by treatment for cancer, see our Side Effects page.
                
                
                    Patients may want to think about taking part in a clinical trial.
                    For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment.   Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment.   Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward.
                
                
                    Patients can enter clinical trials before, during, or after starting their cancer treatment.
                    Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment.   Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for links to current treatment clinical trials. These have been retrieved from NCI's listing of clinical trials.
                
                
                    Follow-up tests may be needed.
                    Some of the tests that were done to diagnose the cancer or to find out the stage of the cancer may be repeated. Some tests will be repeated in order to see how well the treatment is working. Decisions about whether to continue, change, or stop treatment may be based on the results of these tests.   Some of the tests will continue to be done from time to time after treatment has ended. The results of these tests can show if your condition has changed or if the cancer has recurred (come back). These tests are sometimes called follow-up tests or check-ups.
                
                 
							            Treatment Options by Stage
							            
							                
							                    Stage I Mycosis Fungoides
							                    Treatment of stage I mycosis fungoides may include the following:         -  PUVA therapy. Biologic therapy may also be given.    -  Radiation therapy. In some cases, radiation therapy is given to skin lesions, as palliative therapy to reduce tumor size or relieve symptoms and improve quality of life.    -  Topical corticosteroid therapy.    -  Retinoid therapy.    -  Topical or systemic chemotherapy.    - Biologic therapy. Topical chemotherapy may also be given.    -  Targeted therapy.    - A clinical trial of a new treatment.        Check the list of NCI-supported cancer clinical trials that are now accepting patients with stage I mycosis fungoides/Sezary syndrome. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your doctor about clinical trials that may be right for you. General information about clinical trials is available from the NCI website.
							                
							                
							                    Stage II Mycosis Fungoides
							                    Treatment of stage II mycosis fungoides is palliative (to relieve symptoms and improve the quality of life) and may include the following:         -  PUVA therapy. Biologic therapy may also be given.    -  Radiation therapy.     -  Topical corticosteroid therapy.    -  Retinoid therapy.    -  Topical or systemic chemotherapy.    - Biologic therapy. Topical chemotherapy may also be given.    -  Targeted therapy.    - A clinical trial of a new treatment.        Check the list of NCI-supported cancer clinical trials that are now accepting patients with stage II mycosis fungoides/Sezary syndrome. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your doctor about clinical trials that may be right for you. General information about clinical trials is available from the NCI website.
							                
							                
							                    Stage III Mycosis Fungoides
							                    Treatment of stage III mycosis fungoides is palliative (to relieve symptoms and improve the quality of life) and may include the following:         -  PUVA therapy. Systemic chemotherapy or biologic therapy may also be given.    -  Extracorporeal photochemotherapy.    -  Radiation therapy.    -  Topical corticosteroid therapy.    -  Retinoid therapy.    - Systemic chemotherapy with one or more drugs. Topical chemotherapy or radiation therapy may also be given.    - Topical chemotherapy.    - Biologic therapy. Topical chemotherapy may also be given.    -  Targeted therapy.    - A clinical trial of a new treatment.        Check the list of NCI-supported cancer clinical trials that are now accepting patients with stage III mycosis fungoides/Sezary syndrome. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your doctor about clinical trials that may be right for you. General information about clinical trials is available from the NCI website.
							                
							                
							                    Stage IV Mycosis Fungoides and the Szary Syndrome
							                    Treatment of stage IV mycosis fungoides and stage IV Szary syndrome is palliative (to relieve symptoms and improve the quality of life) and may include the following:         -  PUVA therapy. Systemic chemotherapy or biologic therapy may also be given.    -  Extracorporeal photochemotherapy. Radiation therapy may also be given.    - Radiation therapy.    -  Topical corticosteroid therapy.    -  Retinoid therapy.    - Systemic chemotherapy with one or more drugs, or topical chemotherapy.    -  Biologic therapy. Topical chemotherapy may also be given.    -  Targeted therapy.    - A clinical trial of a new treatment.        Check the list of NCI-supported cancer clinical trials that are now accepting patients with stage IV mycosis fungoides/Sezary syndrome. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your doctor about clinical trials that may be right for you. General information about clinical trials is available from the NCI website.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""MF"", ""full_form"": ""Mycosis Fungoides""}, {""ambiguity_type"": ""full_form"", ""abbreviation"": ""SS"", ""full_form"": ""Szary Syndrome""}]}",What are the treatments for MF and the SS ?,What are the treatments for Mycosis Fungoides and the Szary Syndrome ?
symptoms,What are the symptoms of Spondylocostal dysostosis 1 ?,"What are the signs and symptoms of Spondylocostal dysostosis 1? The Human Phenotype Ontology provides the following list of signs and symptoms for Spondylocostal dysostosis 1. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormal form of the vertebral bodies 90% Abnormality of immune system physiology 90% Abnormality of the intervertebral disk 90% Abnormality of the ribs 90% Intrauterine growth retardation 90% Respiratory insufficiency 90% Scoliosis 90% Short neck 90% Short stature 90% Short thorax 90% Vertebral segmentation defect 90% Kyphosis 50% Abnormality of female internal genitalia 7.5% Abnormality of the ureter 7.5% Anomalous pulmonary venous return 7.5% Anteverted nares 7.5% Broad forehead 7.5% Camptodactyly of finger 7.5% Cleft palate 7.5% Cognitive impairment 7.5% Congenital diaphragmatic hernia 7.5% Cryptorchidism 7.5% Depressed nasal bridge 7.5% Displacement of the external urethral meatus 7.5% Finger syndactyly 7.5% Long philtrum 7.5% Low-set, posteriorly rotated ears 7.5% Macrocephaly 7.5% Meningocele 7.5% Microcephaly 7.5% Prominent occiput 7.5% Spina bifida occulta 7.5% Umbilical hernia 7.5% Urogenital fistula 7.5% Abnormality of the odontoid process - Autosomal recessive inheritance - Block vertebrae - Death in infancy - Disproportionate short-trunk short stature - Hemivertebrae - Recurrent respiratory infections - Rib fusion - Severe short stature - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""SCDO1"", ""full_form"": ""Spondylocostal dysostosis 1""}]}",What are the symptoms of SCDO1 ?,What are the symptoms of Spondylocostal dysostosis 1 ?
exams and tests,How to diagnose What I need to know about Hirschsprung Disease ?,"HD is diagnosed based on symptoms and test results.
                
A doctor will perform a physical exam and ask questions about your childs bowel movements. HD is much less likely if parents can identify a time when their childs bowel habits were normal.
                
If HD is suspected, the doctor will do one or more tests.
                
X rays
                
An x ray is a black-and-white picture of the inside of the body. To make the large intestine show up better, the doctor may fill it with barium liquid. Barium liquid is inserted into the large intestine through the anus.
                
If HD is the problem, the last segment of the large intestine will look narrower than normal. Just before this narrow segment, the intestine will look bulged. The bulging is caused by blocked stool stretching the intestine.
                
Manometry
                
During manometry, the doctor inflates a small balloon inside the rectum. Normally, the rectal muscles will relax. If the muscles dont relax, HD may be the problem. This test is most often done in older children and adults.
                
Biopsy
                
Biopsy is the most accurate test for HD. The doctor removes a tiny piece of the large intestine and looks at it with a microscope. If nerve cells are missing, HD is the problem.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""HD"", ""full_form"": ""Hirschsprung Disease""}]}",How to diagnose What I need to know about HD ?,How to diagnose What I need to know about Hirschsprung Disease ?
