,qtype,question,valid,answer,possible_ambiguities,ambiguous_question,unambiguous_question,ambiguous_question_answered_by_gpt4,unambiguous_question_answered_by_gpt4,answers,ambiguous_question_answered_correct_by_gpt4,unambiguous_question_answered_correct_by_gpt4
0,information,What is (are) Alagille Syndrome ?,0,"Alagille syndrome is a genetic condition that results in various symptoms in different parts of the body, including the liver. A person with Alagille syndrome has fewer than the normal number of small bile ducts inside the liver. The liver is the organ in the abdomenthe area between the chest and hipsthat makes blood proteins and bile, stores energy and nutrients, fights infection, and removes harmful chemicals from the blood.
                
Bile ducts are tubes that carry bile from the liver cells to the gallbladder for storage and to the small intestine for use in digestion. Bile is fluid made by the liver that carries toxins and waste products out of the body and helps the body digest fats and the fat-soluble vitamins A, D, E, and K. In people with Alagille syndrome, the decreased number of bile ducts causes bile to build up in the liver, a condition also called cholestasis, leading to liver damage and liver disease.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""Alagille Syndrome"", ""full_form"": ""Alagille Syndrome""}]}",,,,,,,
1,treatment,What are the treatments for long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency ?,1,These resources address the diagnosis or management of LCHAD deficiency:  - Baby's First Test  - Genetic Testing Registry: Long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency  - MedlinePlus Encyclopedia: Hypoglycemia  - MedlinePlus Encyclopedia: Peripheral Neuropathy   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,"{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""LCHAD"", ""full_form"": ""long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency""}]}",What are the treatments for LCHAD ?,What are the treatments for long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency ?,"Treatments for LCHAD (Long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency) include a low-fat, high-carbohydrate diet, medium-chain triglyceride (MCT) oil supplements, avoiding fasting, and carnitine supplementation.","Treatments for long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency include a low-fat, high-carbohydrate diet, medium-chain triglyceride (MCT) oil supplements, avoiding fasting, and carnitine supplementation.","[""These resources address the diagnosis or management of LCHAD deficiency:  - Baby's First Test  - Genetic Testing Registry: Long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency  - MedlinePlus Encyclopedia: Hypoglycemia  - MedlinePlus Encyclopedia: Peripheral Neuropathy   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care""]",,
2,exams and tests,How to diagnose Fanconi Anemia ?,1,"People who have Fanconi anemia (FA) are born with the disorder. They may or may not show signs or symptoms of it at birth. For this reason, FA isn't always diagnosed when a person is born. In fact, most people who have the disorder are diagnosed between the ages of 2 and 15 years.
                
The tests used to diagnose FA depend on a person's age and symptoms. In all cases, medical and family histories are an important part of diagnosing FA. However, because FA has many of the same signs and symptoms as other diseases, only genetic testing can confirm its diagnosis.
                
Specialists Involved
                
A geneticist is a doctor or scientist who studies how genes work and how diseases and traits are passed from parents to children through genes.
                
Geneticists do genetic testing for FA. They also can provide counseling about how FA is inherited and the types of prenatal (before birth) testing used to diagnose it.
                
An obstetrician may detect birth defects linked to FA before your child is born. An obstetrician is a doctor who specializes in providing care for pregnant women.
                
After your child is born, a pediatrician also can help find out whether your child has FA. A pediatrician is a doctor who specializes in treating children and teens.
                
A hematologist (blood disease specialist) also may help diagnose FA.
                
Family and Medical Histories
                
FA is an inherited disease. Some parents are aware that their family has a medical history of FA, even if they don't have the disease.
                
Other parents, especially if they're FA carriers, may not be aware of a family history of FA. Many parents may not know that FA can be passed from parents to children.
                
Knowing your family medical history can help your doctor diagnose whether you or your child has FA or another condition with similar symptoms.
                
If your doctor thinks that you, your siblings, or your children have FA, he or she may ask you detailed questions about:
                
Any personal or family history of anemia
                
Any surgeries youve had related to the digestive system
                
Any personal or family history of immune disorders
                
Your appetite, eating habits, and any medicines you take
                
If you know your family has a history of FA, or if your answers to your doctor's questions suggest a possible diagnosis of FA, your doctor will recommend further testing.
                
Diagnostic Tests and Procedures
                
The signs and symptoms of FA aren't unique to the disease. They're also linked to many other diseases and conditions, such as aplastic anemia. For this reason, genetic testing is needed to confirm a diagnosis of FA. Genetic tests for FA include the following.
                
Chromosome Breakage Test
                
This is the most common test for FA. It's available only in special laboratories (labs). It shows whether your chromosomes (long chains of genes) break more easily than normal.
                
Skin cells sometimes are used for the test. Usually, though, a small amount of blood is taken from a vein in your arm using a needle. A technician combines some of the blood cells with certain chemicals.
                
If you have FA, the chromosomes in your blood sample break and rearrange when mixed with the test chemicals. This doesn't happen in the cells of people who don't have FA.
                
Cytometric Flow Analysis
                
Cytometric flow analysis, or CFA, is done in a lab. This test examines how chemicals affect your chromosomes as your cells grow and divide. Skin cells are used for this test.
                
A technician mixes the skin cells with chemicals that can cause the chromosomes in the cells to act abnormally. If you have FA, your cells are much more sensitive to these chemicals.
                
The chromosomes in your skin cells will break at a high rate during the test. This doesn't happen in the cells of people who don't have FA.
                
Mutation Screening
                
A mutation is an abnormal change in a gene or genes. Geneticists and other specialists can examine your genes, usually using a sample of your skin cells. With special equipment and lab processes, they can look for gene mutations that are linked to FA.
                
Diagnosing Different Age Groups
                
Before Birth (Prenatal)
                
If your family has a history of FA and you get pregnant, your doctor may want to test you or your fetus for FA.
                
Two tests can be used to diagnose FA in a developing fetus: amniocentesis (AM-ne-o-sen-TE-sis) and chorionic villus (ko-re-ON-ik VIL-us) sampling (CVS). Both tests are done in a doctor's office or hospital.
                
Amniocentesis is done 15 to 18 weeks after a pregnant woman's last period. A doctor uses a needle to remove a small amount of fluid from the sac around the fetus. A technician tests chromosomes (chains of genes) from the fluid sample to see whether they have faulty genes associated with FA.
                
CVS is done 10 to 12 weeks after a pregnant woman's last period. A doctor inserts a thin tube through the vagina and cervix to the placenta (the temporary organ that connects the fetus to the mother).
                
The doctor removes a tissue sample from the placenta using gentle suction. The tissue sample is sent to a lab to be tested for genetic defects associated with FA.
                
At Birth
                
Three out of four people who inherit FA are born with birth defects. If your baby is born with certain birth defects, your doctor may recommend genetic testing to confirm a diagnosis of FA.
                
For more information about these defects, go to What Are the Signs and Symptoms of Fanconi Anemia?
                
Childhood and Later
                
Some people who have FA are not born with birth defects. Doctors may not diagnose them with the disorder until signs of bone marrow failure or cancer occur. This usually happens within the first 10 years of life.
                
Signs of bone marrow failure most often begin between the ages of 3 and 12 years, with 7 to 8 years as the most common ages. However, 10 percent of children who have FA aren't diagnosed until after 16 years of age.
                
If your bone marrow is failing, you may have signs of aplastic anemia. FA is one type of aplastic anemia.
                
In aplastic anemia, your bone marrow stops making or doesn't make enough of all three types of blood cells: red blood cells, white blood cells, and platelets.
                
Aplastic anemia can be inherited or acquired after birth through exposure to chemicals, radiation, or medicines.
                
Doctors diagnose aplastic anemia using:
                
Family and medical histories and a physical exam.
                
A complete blood count (CBC) to check the number, size, and condition of your red blood cells. The CBC also checks numbers of white blood cells and platelets.
                
A reticulocyte (re-TIK-u-lo-site) count. This test counts the number of new red blood cells in your blood to see whether your bone marrow is making red blood cells at the proper rate.
                
Bone marrow tests. For a bone marrow aspiration, a small amount of liquid bone marrow is removed and tested to see whether it's making enough blood cells. For a bone marrow biopsy, a small amount of bone marrow tissue is removed and tested to see whether it's making enough blood cells.
                
If you or your child is diagnosed with aplastic anemia, your doctor will want to find the cause. If your doctor suspects you have FA, he or she may recommend genetic testing.
                
For more information, go to the Health Topics Aplastic Anemia article.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""FA"", ""full_form"": ""Fanconi Anemia""}]}",How to diagnose FA ?,How to diagnose Fanconi Anemia ?,"Diagnosing Fanconi Anemia (FA) typically involves blood tests, genetic tests, and bone marrow biopsy to evaluate the function and genetic abnormalities of the bone marrow and blood cells.","Fanconi Anemia is diagnosed through genetic testing, chromosome breakage test, and blood tests to evaluate bone marrow function.","[""People who have Fanconi anemia (FA) are born with the disorder. They may or may not show signs or symptoms of it at birth. For this reason, FA isn't always diagnosed when a person is born. In fact, most people who have the disorder are diagnosed between the ages of 2 and 15 years.\n                \nThe tests used to diagnose FA depend on a person's age and symptoms. In all cases, medical and family histories are an important part of diagnosing FA. However, because FA has many of the same signs and symptoms as other diseases, only genetic testing can confirm its diagnosis.\n                \nSpecialists Involved\n                \nA geneticist is a doctor or scientist who studies how genes work and how diseases and traits are passed from parents to children through genes.\n                \nGeneticists do genetic testing for FA. They also can provide counseling about how FA is inherited and the types of prenatal (before birth) testing used to diagnose it.\n                \nAn obstetrician may detect birth defects linked to FA before your child is born. An obstetrician is a doctor who specializes in providing care for pregnant women.\n                \nAfter your child is born, a pediatrician also can help find out whether your child has FA. A pediatrician is a doctor who specializes in treating children and teens.\n                \nA hematologist (blood disease specialist) also may help diagnose FA.\n                \nFamily and Medical Histories\n                \nFA is an inherited disease. Some parents are aware that their family has a medical history of FA, even if they don't have the disease.\n                \nOther parents, especially if they're FA carriers, may not be aware of a family history of FA. Many parents may not know that FA can be passed from parents to children.\n                \nKnowing your family medical history can help your doctor diagnose whether you or your child has FA or another condition with similar symptoms.\n                \nIf your doctor thinks that you, your siblings, or your children have FA, he or she may ask you detailed questions about:\n                \nAny personal or family history of anemia\n                \nAny surgeries youve had related to the digestive system\n                \nAny personal or family history of immune disorders\n                \nYour appetite, eating habits, and any medicines you take\n                \nIf you know your family has a history of FA, or if your answers to your doctor's questions suggest a possible diagnosis of FA, your doctor will recommend further testing.\n                \nDiagnostic Tests and Procedures\n                \nThe signs and symptoms of FA aren't unique to the disease. They're also linked to many other diseases and conditions, such as aplastic anemia. For this reason, genetic testing is needed to confirm a diagnosis of FA. Genetic tests for FA include the following.\n                \nChromosome Breakage Test\n                \nThis is the most common test for FA. It's available only in special laboratories (labs). It shows whether your chromosomes (long chains of genes) break more easily than normal.\n                \nSkin cells sometimes are used for the test. Usually, though, a small amount of blood is taken from a vein in your arm using a needle. A technician combines some of the blood cells with certain chemicals.\n                \nIf you have FA, the chromosomes in your blood sample break and rearrange when mixed with the test chemicals. This doesn't happen in the cells of people who don't have FA.\n                \nCytometric Flow Analysis\n                \nCytometric flow analysis, or CFA, is done in a lab. This test examines how chemicals affect your chromosomes as your cells grow and divide. Skin cells are used for this test.\n                \nA technician mixes the skin cells with chemicals that can cause the chromosomes in the cells to act abnormally. If you have FA, your cells are much more sensitive to these chemicals.\n                \nThe chromosomes in your skin cells will break at a high rate during the test. This doesn't happen in the cells of people who don't have FA.\n                \nMutation Screening\n                \nA mutation is an abnormal change in a gene or genes. Geneticists and other specialists can examine your genes, usually using a sample of your skin cells. With special equipment and lab processes, they can look for gene mutations that are linked to FA.\n                \nDiagnosing Different Age Groups\n                \nBefore Birth (Prenatal)\n                \nIf your family has a history of FA and you get pregnant, your doctor may want to test you or your fetus for FA.\n                \nTwo tests can be used to diagnose FA in a developing fetus: amniocentesis (AM-ne-o-sen-TE-sis) and chorionic villus (ko-re-ON-ik VIL-us) sampling (CVS). Both tests are done in a doctor's office or hospital.\n                \nAmniocentesis is done 15 to 18 weeks after a pregnant woman's last period. A doctor uses a needle to remove a small amount of fluid from the sac around the fetus. A technician tests chromosomes (chains of genes) from the fluid sample to see whether they have faulty genes associated with FA.\n                \nCVS is done 10 to 12 weeks after a pregnant woman's last period. A doctor inserts a thin tube through the vagina and cervix to the placenta (the temporary organ that connects the fetus to the mother).\n                \nThe doctor removes a tissue sample from the placenta using gentle suction. The tissue sample is sent to a lab to be tested for genetic defects associated with FA.\n                \nAt Birth\n                \nThree out of four people who inherit FA are born with birth defects. If your baby is born with certain birth defects, your doctor may recommend genetic testing to confirm a diagnosis of FA.\n                \nFor more information about these defects, go to What Are the Signs and Symptoms of Fanconi Anemia?\n                \nChildhood and Later\n                \nSome people who have FA are not born with birth defects. Doctors may not diagnose them with the disorder until signs of bone marrow failure or cancer occur. This usually happens within the first 10 years of life.\n                \nSigns of bone marrow failure most often begin between the ages of 3 and 12 years, with 7 to 8 years as the most common ages. However, 10 percent of children who have FA aren't diagnosed until after 16 years of age.\n                \nIf your bone marrow is failing, you may have signs of aplastic anemia. FA is one type of aplastic anemia.\n                \nIn aplastic anemia, your bone marrow stops making or doesn't make enough of all three types of blood cells: red blood cells, white blood cells, and platelets.\n                \nAplastic anemia can be inherited or acquired after birth through exposure to chemicals, radiation, or medicines.\n                \nDoctors diagnose aplastic anemia using:\n                \nFamily and medical histories and a physical exam.\n                \nA complete blood count (CBC) to check the number, size, and condition of your red blood cells. The CBC also checks numbers of white blood cells and platelets.\n                \nA reticulocyte (re-TIK-u-lo-site) count. This test counts the number of new red blood cells in your blood to see whether your bone marrow is making red blood cells at the proper rate.\n                \nBone marrow tests. For a bone marrow aspiration, a small amount of liquid bone marrow is removed and tested to see whether it's making enough blood cells. For a bone marrow biopsy, a small amount of bone marrow tissue is removed and tested to see whether it's making enough blood cells.\n                \nIf you or your child is diagnosed with aplastic anemia, your doctor will want to find the cause. If your doctor suspects you have FA, he or she may recommend genetic testing.\n                \nFor more information, go to the Health Topics Aplastic Anemia article.""]",True,True
3,information,What is (are) Transient Ischemic Attack ?,1,"A transient ischemic attack (TIA) is a transient stroke that lasts only a few minutes. It occurs when the blood supply to part of the brain is briefly interrupted. TIA symptoms, which usually occur suddenly, are similar to those of stroke but do not last as long. Most symptoms of a TIA disappear within an hour, although they may persist for up to 24 hours. Symptoms can include: numbness or weakness in the face, arm, or leg, especially on one side of the body; confusion or difficulty in talking or understanding speech; trouble seeing in one or both eyes; and difficulty with walking, dizziness, or loss of balance and coordination.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""TIA"", ""full_form"": ""Transient Ischemic Attack""}]}",What is (are) TIA ?,What is (are) Transient Ischemic Attack ?,"TIA stands for Transient Ischemic Attack, which is a temporary period of symptoms similar to those of a stroke.","A Transient Ischemic Attack (TIA) is a temporary period of symptoms similar to those of a stroke, caused by a brief disruption in blood supply to part of the brain, which usually resolves within 24 hours without causing permanent damage.","['A transient ischemic attack (TIA) is a transient stroke that lasts only a few minutes. It occurs when the blood supply to part of the brain is briefly interrupted. TIA symptoms, which usually occur suddenly, are similar to those of stroke but do not last as long. Most symptoms of a TIA disappear within an hour, although they may persist for up to 24 hours. Symptoms can include: numbness or weakness in the face, arm, or leg, especially on one side of the body; confusion or difficulty in talking or understanding speech; trouble seeing in one or both eyes; and difficulty with walking, dizziness, or loss of balance and coordination.']",True,True
4,symptoms,What are the symptoms of Osteopetrosis autosomal recessive 2 ?,1,"What are the signs and symptoms of Osteopetrosis autosomal recessive 2? The Human Phenotype Ontology provides the following list of signs and symptoms for Osteopetrosis autosomal recessive 2. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Anemia - Autosomal recessive inheritance - Blindness - Carious teeth - Chronic rhinitis due to narrow nasal airway - Cranial hyperostosis - Diaphyseal sclerosis - Extramedullary hematopoiesis - Facial paralysis - Genu valgum - Hepatosplenomegaly - Mandibular osteomyelitis - Mandibular prognathia - Optic atrophy - Osteopetrosis - Pancytopenia - Persistence of primary teeth - Recurrent fractures - Thrombocytopenia - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""OPTB2"", ""full_form"": ""Osteopetrosis autosomal recessive 2""}]}",What are the symptoms of OPTB2 ?,What are the symptoms of Osteopetrosis autosomal recessive 2 ?,There is no known condition specifically referred to as OPTB2. It's possible you might be referring to a gene or another specific term that requires more context to provide an accurate description of symptoms.,"Symptoms of Osteopetrosis autosomal recessive 2 include bone fragility, frequent fractures, abnormal bone density and structure, anemia, delayed growth and development, cranial nerve compression leading to vision and hearing loss, and hepatosplenomegaly.","['What are the signs and symptoms of Osteopetrosis autosomal recessive 2? The Human Phenotype Ontology provides the following list of signs and symptoms for Osteopetrosis autosomal recessive 2. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Anemia - Autosomal recessive inheritance - Blindness - Carious teeth - Chronic rhinitis due to narrow nasal airway - Cranial hyperostosis - Diaphyseal sclerosis - Extramedullary hematopoiesis - Facial paralysis - Genu valgum - Hepatosplenomegaly - Mandibular osteomyelitis - Mandibular prognathia - Optic atrophy - Osteopetrosis - Pancytopenia - Persistence of primary teeth - Recurrent fractures - Thrombocytopenia - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.']",,True
5,treatment,What are the treatments for Acanthamoeba - Granulomatous Amebic Encephalitis; Keratitis ?,1,"Early diagnosis is essential for effective treatment of Acanthamoeba keratitis. Several prescription eye medications are available for treatment. However, the infection can be difficult to treat. The best treatment regimen for each patient should be determined by an eye doctor. If you suspect your eye may be infected with Acanthamoeba, see an eye doctor immediately.
    
Skin infections that are caused by Acanthamoeba but have not spread to the central nervous system can be successfully treated. Because this is a serious infection and the people affected typically have weakened immune systems, early diagnosis offers the best chance at cure.
    
Most cases of brain and spinal cord infection with Acanthamoeba (Granulomatous Amebic Encephalitis) are fatal.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""GAE"", ""full_form"": ""Granulomatous Amebic Encephalitis""}]}",What are the treatments for Acanthamoeba - GAE; Keratitis ?,What are the treatments for Acanthamoeba - Granulomatous Amebic Encephalitis; Keratitis ?,"Treatments for Acanthamoeba keratitis include antifungal and antibacterial eye drops, while GAE (Granulomatous Amebic Encephalitis) may be treated with a combination of antimicrobials such as amphotericin B, fluconazole, and rifampicin. However, GAE treatment is often not successful due to the disease's severity and rapid progression.","Treatments for Acanthamoeba Keratitis include topical antiseptics (such as chlorhexidine and polyhexamethylene biguanide), topical and oral azoles (such as voriconazole), and aminoglycosides. For Granulomatous Amebic Encephalitis, treatments may include a combination of drugs such as sulfadiazine, flucytosine, azoles (e.g., fluconazole, itraconazole), and pentamidine.","['Early diagnosis is essential for effective treatment of Acanthamoeba keratitis. Several prescription eye medications are available for treatment. However, the infection can be difficult to treat. The best treatment regimen for each patient should be determined by an eye doctor. If you suspect your eye may be infected with Acanthamoeba, see an eye doctor immediately.\n    \nSkin infections that are caused by Acanthamoeba but have not spread to the central nervous system can be successfully treated. Because this is a serious infection and the people affected typically have weakened immune systems, early diagnosis offers the best chance at cure.\n    \nMost cases of brain and spinal cord infection with Acanthamoeba (Granulomatous Amebic Encephalitis) are fatal.']",True,True
6,treatment,What are the treatments for SYNGAP1-related intellectual disability ?,1,"These resources address the diagnosis or management of SYNGAP1-related intellectual disability:  - Eunice Kennedy Shriver National Institute of Child Health and Human Development: What Are Treatments for Intellectual and Developmental Disabilities?  - Genetic Testing Registry: Mental retardation, autosomal dominant 5   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care","{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""SYNGAP1"", ""full_form"": ""Synaptic Ras GTPase activating protein 1""}]}",What are the treatments for SYNGAP1-related intellectual disability ?,What are the treatments for Synaptic Ras GTPase activating protein 1-related intellectual disability ?,"Treatments for SYNGAP1-related intellectual disability are primarily supportive and symptomatic, including physical therapy, occupational therapy, speech therapy, educational support, and medications to manage seizures or other specific symptoms.","There is no cure for Synaptic Ras GTPase activating protein 1-related intellectual disability. Treatment focuses on managing symptoms and may include educational support, behavioral therapy, and medications for specific symptoms.","['These resources address the diagnosis or management of SYNGAP1-related intellectual disability:  - Eunice Kennedy Shriver National Institute of Child Health and Human Development: What Are Treatments for Intellectual and Developmental Disabilities?  - Genetic Testing Registry: Mental retardation, autosomal dominant 5   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care']",True,True
7,treatment,What are the treatments for Central Pain Syndrome ?,1,"Pain medications often provide some reduction of pain, but not complete relief of pain, for those affected by central pain syndrome. Tricyclic antidepressants such as nortriptyline or anticonvulsants such as neurontin (gabapentin) can be useful. Lowering stress levels appears to reduce pain.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""CPS"", ""full_form"": ""Central Pain Syndrome""}]}",What are the treatments for CPS ?,What are the treatments for Central Pain Syndrome ?,"Treatments for CPS (Central Pain Syndrome) may include medications (antidepressants, anticonvulsants, pain relievers), physical therapy, psychotherapy, and in some cases, neurostimulation techniques such as deep brain stimulation or spinal cord stimulation.","Treatments for Central Pain Syndrome include medications (antidepressants, anticonvulsants, pain relievers), physical therapy, psychotherapy, and in some cases, surgical interventions such as deep brain stimulation or motor cortex stimulation.","['Pain medications often provide some reduction of pain, but not complete relief of pain, for those affected by central pain syndrome. Tricyclic antidepressants such as nortriptyline or anticonvulsants such as neurontin (gabapentin) can be useful. Lowering stress levels appears to reduce pain.']",True,True
8,symptoms,What are the symptoms of Bardet-Biedl syndrome 5 ?,1,"What are the signs and symptoms of Bardet-Biedl syndrome 5? The Human Phenotype Ontology provides the following list of signs and symptoms for Bardet-Biedl syndrome 5. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the kidney 95% Micropenis 88% Myopia 75% Astigmatism 63% Cataract 30% Glaucoma 22% Rod-cone dystrophy 8% Abnormality of the ovary 7.5% Hearing impairment 7.5% Macrocephaly 7.5% Vaginal atresia 7.5% Aganglionic megacolon 5% Asthma - Ataxia - Autosomal recessive inheritance - Biliary tract abnormality - Brachydactyly syndrome - Broad foot - Congenital primary aphakia - Decreased testicular size - Delayed speech and language development - Dental crowding - Diabetes mellitus - Foot polydactyly - Gait imbalance - Hepatic fibrosis - High palate - Hirsutism - Hypertension - Hypodontia - Hypogonadism - Intellectual disability - Left ventricular hypertrophy - Nephrogenic diabetes insipidus - Neurological speech impairment - Nystagmus - Obesity - Poor coordination - Postaxial hand polydactyly - Radial deviation of finger - Retinal degeneration - Short foot - Specific learning disability - Strabismus - Syndactyly - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""BBS5"", ""full_form"": ""Bardet-Biedl syndrome 5""}]}",What are the symptoms of BBS5 ?,What are the symptoms of Bardet-Biedl syndrome 5 ?,"Symptoms of BBS5 (Bardet-Biedl Syndrome 5) can include vision loss, obesity, learning disabilities, polydactyly (extra fingers or toes), kidney abnormalities, and genital abnormalities in males.","Symptoms of Bardet-Biedl syndrome 5 can include vision loss, obesity, polydactyly, kidney abnormalities, learning difficulties, and genital abnormalities.","['What are the signs and symptoms of Bardet-Biedl syndrome 5? The Human Phenotype Ontology provides the following list of signs and symptoms for Bardet-Biedl syndrome 5. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the kidney 95% Micropenis 88% Myopia 75% Astigmatism 63% Cataract 30% Glaucoma 22% Rod-cone dystrophy 8% Abnormality of the ovary 7.5% Hearing impairment 7.5% Macrocephaly 7.5% Vaginal atresia 7.5% Aganglionic megacolon 5% Asthma - Ataxia - Autosomal recessive inheritance - Biliary tract abnormality - Brachydactyly syndrome - Broad foot - Congenital primary aphakia - Decreased testicular size - Delayed speech and language development - Dental crowding - Diabetes mellitus - Foot polydactyly - Gait imbalance - Hepatic fibrosis - High palate - Hirsutism - Hypertension - Hypodontia - Hypogonadism - Intellectual disability - Left ventricular hypertrophy - Nephrogenic diabetes insipidus - Neurological speech impairment - Nystagmus - Obesity - Poor coordination - Postaxial hand polydactyly - Radial deviation of finger - Retinal degeneration - Short foot - Specific learning disability - Strabismus - Syndactyly - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.']",True,True
9,susceptibility,Who is at risk for Adult Acute Myeloid Leukemia? ?,1,"Smoking, previous chemotherapy treatment, and exposure to radiation may affect the risk of adult AML. Anything that increases your risk of getting a disease is called a risk factor. Having a risk factor does not mean that you will get cancer; not having risk factors doesnt mean that you will not get cancer. Talk with your doctor if you think you may be at risk. Possible risk factors for AML include the following:         - Being male.    - Smoking, especially after age 60.    - Having had treatment with chemotherapy or radiation therapy in the past.    - Having had treatment for childhood acute lymphoblastic leukemia (ALL) in the past.    - Being exposed to radiation from an atomic bomb or to the chemical benzene.    - Having a history of a blood disorder such as myelodysplastic syndrome.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""AML"", ""full_form"": ""Acute Myeloid Leukemia""}]}",Who is at risk for Adult AML? ?,Who is at risk for Adult Acute Myeloid Leukemia? ?,"Individuals at risk for Adult Acute Myeloid Leukemia (AML) include those with a history of smoking, previous chemotherapy or radiation therapy, exposure to certain chemicals (like benzene), genetic disorders (such as Down syndrome), and those over the age of 65.","People at risk for Adult Acute Myeloid Leukemia (AML) include those with a history of smoking, previous chemotherapy or radiation therapy, exposure to certain chemicals (like benzene), genetic disorders (such as Down syndrome), and those over the age of 45.","['Smoking, previous chemotherapy treatment, and exposure to radiation may affect the risk of adult AML. Anything that increases your risk of getting a disease is called a risk factor. Having a risk factor does not mean that you will get cancer; not having risk factors doesnt mean that you will not get cancer. Talk with your doctor if you think you may be at risk. Possible risk factors for AML include the following:         - Being male.    - Smoking, especially after age 60.    - Having had treatment with chemotherapy or radiation therapy in the past.    - Having had treatment for childhood acute lymphoblastic leukemia (ALL) in the past.    - Being exposed to radiation from an atomic bomb or to the chemical benzene.    - Having a history of a blood disorder such as myelodysplastic syndrome.']",True,True
