qtype,question,answer,ambiguous_question,unambiguous_question,domain_idx,intent,RAW_NO_DOMAIN_analyzed_question_answered_by_gpt35_correct,RAW_NO_DOMAIN_raw_question_answered_by_gpt35_correct,RAW_NO_DOMAIN_raw_question_answered_by_gpt35,RAW_NO_DOMAIN_analyzed_question_answered_by_gpt35,RAW_NO_INTENT_analyzed_question_answered_by_gpt35_correct,RAW_NO_INTENT_raw_question_answered_by_gpt35_correct,RAW_NO_INTENT_raw_question_answered_by_gpt35,RAW_NO_INTENT_analyzed_question_answered_by_gpt35,RAW_ALL_analyzed_question_answered_by_gpt35_correct,RAW_ALL_raw_question_answered_by_gpt35_correct,RAW_ALL_raw_question_answered_by_gpt35,RAW_ALL_analyzed_question_answered_by_gpt35
symptoms,What are the symptoms of Familial hypocalciuric hypercalcemia type 3 ?,"What are the signs and symptoms of Familial hypocalciuric hypercalcemia type 3? The Human Phenotype Ontology provides the following list of signs and symptoms for Familial hypocalciuric hypercalcemia type 3. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Nephrolithiasis 5% Peptic ulcer 5% Chondrocalcinosis - Hypercalcemia - Hypermagnesemia - Hypocalciuria - Multiple lipomas - Pancreatitis - Parathormone-independent increased renal tubular calcium reabsorption - Primary hyperparathyroidism - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",What are the symptoms of Familial hypocalciuric hypercalcemia type 3 ?,What are the symptoms of Familial hypocalciuric hypercalcemia type 3 ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,False,Asymptomatic or mild hypercalcemia,"Symptoms of Familial hypocalciuric hypercalcemia type 3 include high levels of calcium in the blood, low levels of calcium in the urine, and may not show any symptoms at all.",False,True,"Symptoms of Familial hypocalciuric hypercalcemia type 3 include high blood calcium levels, low urinary calcium excretion, and often no symptoms at all.",Asymptomatic or mild hypercalcemia,True,True,"Symptoms of Familial hypocalciuric hypercalcemia type 3 include high blood calcium levels, low urinary calcium excretion, and often no symptoms at all.","The symptoms of Familial hypocalciuric hypercalcemia type 3 may include high levels of calcium in the blood, low levels of calcium in the urine, and in some cases, mild hypercalcemia-related symptoms such as fatigue, weakness, and frequent urination."
susceptibility,Who is at risk for Patent Ductus Arteriosus? ?,"Patent ductus arteriosus (PDA) is a relatively common congenital heart defect in the United States.
                
The condition occurs more often in premature infants (on average, occurring in about 8 of every 1,000 births). However, PDA also occurs in full-term infants (on average, occurring in about 2 of every 1,000 births).
                
PDA also is more common in:
                
Infants who have genetic conditions such as Down syndrome
                
Infants whose mothers had German measles (rubella) during pregnancy
                
PDA is twice as common in girls as it is in boys.",Who is at risk for Patent Ductus Arteriosus? ?,Who is at risk for Patent Ductus Arteriosus? ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",False,True,"Premature infants, infants born at high altitudes, infants born to mothers with rubella during pregnancy","Premature infants, infants with certain genetic conditions, and infants born at high altitudes are at risk for Patent Ductus Arteriosus.",True,True,"Premature infants, infants born at high altitudes, infants born to mothers with rubella during pregnancy","Premature infants, female infants, infants born at high altitudes, infants with certain genetic conditions",True,True,"Premature infants, infants born at high altitudes, infants born to mothers with rubella during pregnancy, and infants with certain genetic conditions are at risk for Patent Ductus Arteriosus.","Premature infants, female gender, and certain genetic conditions are at higher risk for Patent Ductus Arteriosus."
information,Do you have information about Understanding Medical Research,"Summary : It seems to happen almost every day - you hear about the results of a new medical research study. Sometimes the results of one study seem to disagree with the results of another study.    It's important to be critical when reading or listening to reports of new medical findings. Some questions that can help you evaluate health information include:       - Was the study in animals or people?     - Does the study include people like you?     - How big was the study?    - Was it a randomized controlled clinical trial?    - Where was the research done?     - If a new treatment was being tested, were there side effects?     - Who paid for the research?    - Who is reporting the results?        NIH: National Institutes of Health",Do you have information about Understanding Medical Research,Do you have information about Understanding Medical Research,8,"Exploratory(Divergent Thinking): Queries that are inherently about seeking new areas of knowledge, understanding emerging trends, or identifying unknown opportunities without a specific end goal of making a decision or judgment. Exploratory queries are characterized by their openness and the lack of a predefined objective, differentiating them from evaluative queries which are directed towards forming a judgment or assessment. Exploratory queries encourage branching out into various directions to explore a wide array of possibilities without necessarily aiming to converge on a single answer or outcome.",True,False,"Yes, I can provide information about Understanding Medical Research. What specific questions do you have?","Understanding Medical Research is the process of critically analyzing and interpreting medical studies to comprehend the findings, implications, and limitations of the research.",True,True,"Yes, I have information about Understanding Medical Research.","Yes, I can provide information about Understanding Medical Research.",True,False,"Yes, I have information about Understanding Medical Research.","Understanding Medical Research involves learning about the methods, results, and implications of scientific studies in the field of medicine."
treatment,What are the treatments for Gitelman syndrome ?,These resources address the diagnosis or management of Gitelman syndrome:  - Genetic Testing Registry: Familial hypokalemia-hypomagnesemia   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,What are the treatments for Gitelman syndrome ?,What are the treatments for Gitelman syndrome ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,"Treatment for Gitelman syndrome includes oral potassium and magnesium supplements, as well as a high-sodium diet.","The treatments for Gitelman syndrome include oral potassium and magnesium supplements, as well as a high-sodium diet.",True,True,"Treatment for Gitelman syndrome includes oral potassium and magnesium supplements, as well as medications to regulate blood pressure and electrolyte levels.",Treatment for Gitelman syndrome typically involves oral potassium and magnesium supplements.,True,True,"Treatment for Gitelman syndrome includes oral magnesium and potassium supplements, as well as a high-salt diet.","The treatments for Gitelman syndrome typically involve potassium and magnesium supplements, as well as medications to help regulate electrolyte levels."
information,What is (are) trichohepatoenteric syndrome ?,"Trichohepatoenteric syndrome is a condition that affects the hair (tricho-), liver (hepato-), and intestines (enteric), as well as other tissues and organs in the body. This condition is also known as syndromic diarrhea because chronic, difficult-to-treat diarrhea is one of its major features. Within the first few weeks of life, affected infants develop watery diarrhea that occurs multiple times per day. Even with nutritional support through intravenous feedings (parenteral nutrition), many of these children experience failure to thrive, which means they do not gain weight or grow at the expected rate. Most children with trichohepatoenteric syndrome are small at birth, and they remain shorter than their peers throughout life.  Abnormal hair is another feature of trichohepatoenteric syndrome. Hair in affected individuals is described as wooly, brittle, patchy, and easily pulled out. Under a microscope, some strands of hair can be seen to vary in diameter, with thicker and thinner spots. This feature is known as trichorrhexis nodosa.  Other signs and symptoms of trichohepatoenteric syndrome can include liver disease; skin abnormalities; and distinctive facial features, including a wide forehead, a broad base of the nose, and widely spaced eyes. Overall, the facial features are described as ""coarse."" Most affected individuals also experience immune system abnormalities that can make them prone to developing infections. Less commonly, trichohepatoenteric syndrome is associated with heart (cardiac) abnormalities. Mild intellectual disability has been reported in at least half of all children with the condition.  Trichohepatoenteric syndrome is often life-threatening in childhood, particularly in children who develop liver disease or severe infections.",What is (are) trichohepatoenteric syndrome ?,What is (are) trichohepatoenteric syndrome ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,"Trichohepatoenteric syndrome is a rare genetic disorder characterized by severe diarrhea, hair abnormalities, and liver disease.","Trichohepatoenteric syndrome is a rare genetic disorder characterized by severe diarrhea, hair abnormalities, and liver disease.",True,True,"Trichohepatoenteric syndrome is a rare genetic disorder characterized by severe diarrhea, hair abnormalities, and liver disease.","Trichohepatoenteric syndrome is a rare genetic disorder characterized by severe diarrhea, hair abnormalities, and liver disease.",True,True,"Trichohepatoenteric syndrome is a rare genetic disorder characterized by severe diarrhea, hair abnormalities, and liver disease.","Trichohepatoenteric syndrome is a rare genetic disorder characterized by severe diarrhea, hair abnormalities, and liver disease."
treatment,What are the treatments for hereditary sensory and autonomic neuropathy type V ?,These resources address the diagnosis or management of HSAN5:  - Genetic Testing Registry: Congenital sensory neuropathy with selective loss of small myelinated fibers   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,What are the treatments for hereditary sensory and autonomic neuropathy type V ?,What are the treatments for hereditary sensory and autonomic neuropathy type V ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,There is no specific treatment for hereditary sensory and autonomic neuropathy type V. Management focuses on symptom relief and supportive care.,"Currently, there is no specific treatment for hereditary sensory and autonomic neuropathy type V. Management focuses on symptom relief and supportive care.",False,True,"Currently, there is no specific treatment for hereditary sensory and autonomic neuropathy type V. Management focuses on symptom relief and supportive care.",There is currently no specific treatment for hereditary sensory and autonomic neuropathy type V.,True,True,There is no specific treatment for hereditary sensory and autonomic neuropathy type V. Management focuses on symptom relief and supportive care.,"Currently, there is no specific treatment for hereditary sensory and autonomic neuropathy type V. Management focuses on symptom relief and supportive care."
information,What is (are) Sun Exposure ?,"Ultraviolet (UV) rays are an invisible form of radiation. They can pass through your skin and damage your skin cells. Sunburns are a sign of skin damage. Suntans aren't healthy, either. They appear after the sun's rays have already killed some cells and damaged others. UV rays can cause skin damage during any season or at any temperature. They can also cause eye problems, wrinkles, skin spots, and skin cancer.    To protect yourself        -  Stay out of the sun when it is strongest (between 10 a.m. and 2 p.m.)    -  Use sunscreen with an SPF of 15 or higher     -  Wear protective clothing     -  Wear wraparound sunglasses that provide 100 percent UV ray protection    -  Avoid sunlamps and tanning beds        Check your skin regularly for changes in the size, shape, color, or feel of birthmarks, moles, and spots. Such changes are a sign of skin cancer.     Food and Drug Administration",What is (are) Sun Exposure ?,What is (are) Sun Exposure ?,0,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,"Sun exposure refers to the amount of time a person spends in direct sunlight, which can have both positive and negative effects on health.","Sun exposure refers to the amount of time a person spends in direct sunlight, which can have both positive and negative effects on health. It is important to balance sun exposure to ensure adequate vitamin D production while minimizing the risk of skin damage and skin cancer.",True,True,"Sun exposure refers to the amount of time a person spends in direct sunlight, which can have both positive and negative effects on health.","Sun exposure refers to the amount of time a person spends in direct sunlight, which can have both positive and negative effects on health.",True,True,"Sun exposure refers to the amount of time a person spends in direct sunlight, which can have both positive and negative effects on health.","Sun exposure refers to the amount of time a person spends in direct sunlight, which can have both positive (e.g., vitamin D synthesis) and negative (e.g., skin damage) effects on health."
information,What is (are) fish-eye disease ?,"Fish-eye disease, also called partial LCAT deficiency, is a disorder that causes the clear front surface of the eyes (the corneas) to gradually become cloudy. The cloudiness, which generally first appears in adolescence or early adulthood, consists of small grayish dots of cholesterol (opacities) distributed across the corneas. Cholesterol is a waxy, fat-like substance that is produced in the body and obtained from foods that come from animals; it aids in many functions of the body but can become harmful in excessive amounts. As fish-eye disease progresses, the corneal cloudiness worsens and can lead to severely impaired vision.",What is (are) fish-eye disease ?,What is (are) fish-eye disease ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,False,Fish-eye disease is a rare genetic disorder that affects the body's ability to break down certain fats.,"Fish-eye disease, also known as partial LCAT deficiency, is a rare genetic disorder that affects the body's ability to produce and regulate cholesterol. It is caused by mutations in the LCAT gene, leading to a deficiency in the enzyme lecithin-cholesterol acyltransferase (LCAT). This deficiency results in the accumulation of cholesterol esters in various tissues and organs, particularly the cornea of the eye, giving it a 'fish-eye' appearance.",False,True,"Fish-eye disease, also known as partial LCAT deficiency, is a rare genetic disorder that affects the body's ability to break down fats and cholesterol. It is caused by mutations in the LCAT gene, leading to a deficiency in the enzyme lecithin-cholesterol acyltransferase (LCAT). This deficiency results in the accumulation of cholesterol esters in various tissues, including the cornea of the eye, giving it a cloudy appearance resembling a fish eye.",Fish-eye disease is a rare genetic disorder that affects the body's ability to break down certain fats.,True,True,Fish-eye disease is a rare genetic disorder that affects the body's ability to break down certain fats.,"Fish-eye disease, also known as partial LCAT deficiency, is a rare genetic disorder that affects the body's ability to break down fats and cholesterol. It is caused by mutations in the LCAT gene, leading to a deficiency in the enzyme lecithin-cholesterol acyltransferase (LCAT). This deficiency results in the accumulation of fats and cholesterol in various tissues, including the cornea of the eye, giving it a cloudy appearance resembling a fish eye."
information,What is (are) Proteus-like syndrome ?,"Proteus-like syndrome describes people who do not meet the diagnostic criteria for Proteus syndrome but who share many of the characteristic signs and symptoms associated with the condition. Affected people may experience some of the following features: overgrowth of the bones, skin, and other tissues; hamartomas; abnormalities of the skin, blood vessels (vascular tissue) and fat (adipose tissue); and distinctive facial features. Approximately 50% of people with Proteus-like syndrome are found to have changes (mutations) in the PTEN gene. In these cases, the inheritance is autosomal dominant. Treatment is based on the signs and symptoms present in each person.",What is (are) Proteus-like syndrome ?,What is (are) Proteus-like syndrome ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,"Proteus-like syndrome is a rare genetic condition characterized by overgrowth of various tissues in the body, leading to asymmetry and other abnormalities. It is similar to Proteus syndrome but lacks the specific genetic mutation associated with Proteus syndrome.","Proteus-like syndrome is a rare condition characterized by overgrowth of the bones, skin, and other tissues. It is similar to Proteus syndrome but lacks the specific genetic mutation associated with Proteus syndrome.",True,True,"Proteus-like syndrome is a rare genetic condition characterized by overgrowth of various tissues in the body, leading to asymmetrical growth and other abnormalities similar to Proteus syndrome.","Proteus-like syndrome is a rare genetic condition characterized by overgrowth of various tissues in the body, leading to asymmetry and abnormal growth patterns. It is similar to Proteus syndrome but lacks the specific genetic mutation associated with Proteus syndrome.",True,True,"Proteus-like syndrome is a rare condition characterized by overgrowth of various tissues in the body, leading to asymmetry and other abnormalities. It is similar to Proteus syndrome but lacks the specific genetic mutation associated with Proteus syndrome.","Proteus-like syndrome is a rare condition characterized by overgrowth of the bones, skin, and other tissues. It is similar to Proteus syndrome but lacks the specific genetic mutation associated with Proteus syndrome."
symptoms,What are the symptoms of Childhood Craniopharyngioma ?,"Signs of childhood craniopharyngioma include vision changes and slow growth. These and other signs and symptoms may be caused by craniopharyngiomas or by other conditions. Check with your childs doctor if your child has any of the following:         - Headaches, including morning headache or headache that goes away after vomiting.    - Vision changes.    -  Nausea and vomiting.    - Loss of balance or trouble walking.    - Increase in thirst or urination.    - Unusual sleepiness or change in energy level.    - Changes in personality or behavior.    - Short stature or slow growth.    - Hearing loss.    - Weight gain.",What are the symptoms of Childhood Craniopharyngioma ?,What are the symptoms of Childhood Craniopharyngioma ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,"Symptoms of Childhood Craniopharyngioma include headaches, vision problems, growth delays, weight gain, and hormonal imbalances.","Symptoms of Childhood Craniopharyngioma may include headache, vision problems, growth failure, excessive thirst, frequent urination, and obesity.",True,True,"Symptoms of Childhood Craniopharyngioma include headaches, vision problems, growth delays, weight gain, and hormonal imbalances.","Symptoms of Childhood Craniopharyngioma include headaches, vision problems, growth failure, delayed puberty, and behavioral changes.",True,True,"Symptoms of Childhood Craniopharyngioma include headaches, vision problems, growth delays, weight gain, and hormonal imbalances.","Symptoms of Childhood Craniopharyngioma may include headaches, vision problems, growth failure, excessive thirst, frequent urination, and obesity."
